id,answer
1,France
2,With
3,Menshikov
4,Marquis Charles de La Valette
5,Menshikov
6,Nicholas
7,Nicholas
8,Nicholas
9,Nicholas I of Russia Napoleon III
10,October
11,France
12,Romania
13,Omar Pasha
14,Kars
15,France
16,Black Sea Sevastopol
17,1854
18,25 October 1854
19,Omar Pasha
20,London
21,September
22,Russia
23,Treaty
24,30 March 1856
25,Menshikov
26,The Times
27,William Howard
28,William Howard Russell
29,1857
30,Sultan Mahmud
31,1826
32,Mahmud II
33,1830
34,1830
35,Muhammad Ali
36,Erzerum
37,Egyptians
38,430
39,Muhammad Ali
40,Egyptians
41,1839
42,Muhammad Ali
43,1840
44,Russia
45,Holy Alliance
46,1848
47,Nicholas
48,Muhammad Ali
49,1853
50,Turkey
51,200
52,Nicholas
53,Ottoman Empire
54,one
55,Sevastopol
56,Orbeliani
57,October
58,Napoleon III
59,Nicholas
60,Marquis Charles de La Valette
61,Roman Catholic
62,Turkey
63,Napoleon
64,Treaty
65,Malakoff
66,Marquis Charles de La Valette
67,Nicholas
68,George Hamilton Seymour
69,Menshikov
70,105
71,Menshikov
72,Russell
73,Napoleon
74,Napoleon
75,Constantinople
76,Kk Kaynarca
77,Mikhail Gorchakov
78,Ivan Paskevich
79,Mikhail Gorchakov
80,1853
81,1854
82,Menshikov
83,Menshikov
84,Nicholas
85,Chernaya
86,Count Karl von Buol
87,1853
88,Abdlmecid
89,Nicholas
90,Sinop
91,Black Sea
92,Sinop
93,Anatolia
94,28 March 1854
95,John Burgoyne
96,Dardanelles Burgoyne
97,Dardanelles Burgoyne
98,Cowley
99,Cowley
100,1848
101,Nicholas
102,Nicholas
103,Tsar Nicholas
104,UK France
105,Nicholas
106,Omar Pasha
107,Danube Vidin
108,Danube Silistra
109,Chetatea Cetate
110,Omar Pasha
111,Danube River
112,14 April 60-COMMA-000
113,May 1854
114,English French
115,Omar Pasha
116,280-COMMA-000
117,1854
118,Napoleon III
119,Kamish
120,Bulgaria
121,July 1854
122,1854
123,Giurgiu
124,Tsar Nicholas
125,Battle of
126,Sevastopol
127,British
128,Black Sea
129,Sevastopol
130,Black Sea
131,Cossacks
132,twelve
133,twelve
134,1854
135,UK France
136,George Hamilton-Gordon
137,1854
138,Crimean
139,500
140,Calamita Bay the south west coast
141,Sevastopol
142,6000
143,Sevastopol
144,6000
145,3-COMMA-300
146,John Burgoyne
147,25 September
148,Heavy Brigade
149,John Burgoyne
150,Colin
151,4 August
152,Nicholas
153,4 August
154,Omar Pasha
155,British
156,Balaclava
157,Kadikoi
158,Sir
159,Omar Pasha
160,Crimea
161,Heavy Brigade
162,Orbeliani
163,Raglan
164,Raglan
165,Russian
166,25 October 1854
167,Alfred Lord Tennyson
168,Alfred Lord Tennyson
169,Alfred Lord Tennyson
170,Winter
171,UK France
172,thirty
173,March
174,439
175,Omar Pasha
176,Kars
177,Mamelon
178,May 1854
179,Omar Pasha
180,Admiral Nakhimov
181,4 August
182,Balaclava
183,461
184,March
185,8 September
186,Giurgiu
187,Erzerum
188,British
189,1855
190,Black Sea
191,Kerch Strait
192,Taganrog
193,Rostov Don
194,Taganrog
195,David
196,August 1855
197,September 1855
198,August 1855
199,Nicholas
200,20000
201,Kars
202,30000
203,13
204,Eristov
205,Kamish
206,Sevastopol
207,Tsar Nicholas
208,Nicholas
209,Russian
210,120-COMMA-000
211,Orbeliani
212,Turks Kars
213,Kars
214,Nicholas
215,September 8000
216,September 8000
217,Ingur River
218,1855
219,Saint Petersburg
220,United Kingdom
221,Western Allied Baltic Fleet
222,April 1854
223,August 1854
224,8 September
225,land Islands
226,Viktor Poplonsky
227,John Burgoyne
228,Kronstadt
229,Cronstadt Sevastopol
230,Russia
231,Cronstadt Sevastopol
232,Alfred Nobel
233,David
234,Allied
235,Far East
236,Victor Emmanuel
237,II
238,Victor Emmanuel
239,1855
240,Piedmont-Sardinia
241,1853
242,1853
243,Piraeus
244,1854
245,Omar Pasha
246,St
247,The riot
248,1-COMMA-500
249,Benjamin Disraeli
250,Foreign Secretary Lord
251,France
252,1856
253,Otto von Bismarck
254,Ivan Paskevich
255,August 1854
256,1856
257,Franco-Prussian War
258,1871
259,French
260,Otto von Bismarck
261,William Howard Russell
262,Russia
263,Habsburg
264,UK France
265,France
266,Vienna
267,Kinglake
268,French Ottoman
269,Andrew Lambert Winfried Baumgart
270,Russian America
271,British Columbia
272,Alexander
273,Alexander
274,1859
275,William Howard Russell
276,Roger Fenton
277,Roger Fenton
278,Napoleon III
279,1854
